Player,Age_2025,Team_2025,Team_2024,G_2025,G_2024,G_diff_2025_minus_2024,Att_2025,Att_2024,Att_diff_2025_minus_2024,Team Att_2025,Team Att_2024,Team Att_diff_2025_minus_2024,Att_Share_2025,Att_Share_2024,Att_Share_diff_2025_minus_2024,Yds_2025,Yds_2024,Yds_diff_2025_minus_2024,YBC_2025,YBC_2024,YBC_diff_2025_minus_2024,YBC/Att_2025,YBC/Att_2024,YBC/Att_diff_2025_minus_2024,YAC_2025,YAC_2024,YAC_diff_2025_minus_2024,YAC/Att_2025,YAC/Att_2024,YAC/Att_diff_2025_minus_2024,REC_2025,REC_2024,REC_diff_2025_minus_2024,TGT_2025,TGT_2024,TGT_diff_2025_minus_2024,Team TGT_2025,Team TGT_2024,Team TGT_diff_2025_minus_2024,TGT_share_2025,TGT_share_2024,TGT_share_diff_2025_minus_2024,Rec YDS_2025,Rec YDS_2024,Rec YDS_diff_2025_minus_2024,Rush TD_2025,Rush TD_2024,Rush TD_diff_2025_minus_2024,Rec TD_2025,Rec TD_2024,Rec TD_diff_2025_minus_2024,RZ TD_2025,RZ TD_2024,RZ TD_diff_2025_minus_2024,RZ PCT_2025,RZ PCT_2024,RZ PCT_diff_2025_minus_2024,RZ REC_2025,RZ REC_2024,RZ REC_diff_2025_minus_2024,RZ REC TD_2025,RZ REC TD_2024,RZ REC TD_diff_2025_minus_2024,FPTS_2025,FPTS_2024,FPTS_diff_2025_minus_2024,FPTS/G_2025,FPTS/G_2024,FPTS/G_diff_2025_minus_2024,XFP_2025,XFP_2024,XFP_diff_2025_minus_2024,TD/G_2025,TD/G_2024,TD/G_diff_2025_minus_2024,XTD_2025,XTD_2024,XTD_diff_2025_minus_2024,fpts_diff_2025,fpts_diff_2024,fpts_diff_diff_2025_minus_2024,tds_diff_2025,tds_diff_2024,tds_diff_diff_2025_minus_2024,VOR_2025,VOR_2024,VOR_diff_2025_minus_2024,ALY_2025,ALY_2024,ALY_diff_2025_minus_2024,normalized_line_pred,Bet_Line_Rush_Yds,Bet_Line_Rush_TD,Bet_Line_Rec_Yds,Bet_Line_Rec,Bet_Line_Rec_TD,Total_Targets,Expected_Receiving_Yards,Expected_Receptions,Expected_Receiving_TDs,Expected_Fantasy_Points_PPR,Team_2026,Predicted_RECs_2026,Predicted_Rec_Yards_2026,Predicted_Rec_TDs_2026,Predicted_Rush_TDs_2026,Calculated_Expected_Points_PPR_2026,Prediction_Reasoning_2026
jonathan taylor,26,IND,IND,17,14,3,323,303,20,373,391,-18,86.6,77.49,9.11,1585,1431,154,826,859,-33,2.56,2.8,-0.24,759,572,187,2.35,1.9,0.45,46,18,28,55,31,24,77,65,12,71.43,47.69,23.74,378,136,242,18,11,7,2,1,1,14,6,8,89.7%,73.0%,16.7,4,2,2,2,1,1,362.3,244.7,117.6,21.3,17.5,3.8,18.0,17.1,0.9,1.18,0.9,0.28,0.91,0.82,0.09,3.3,0.4,2.9,0.27,0.08,0.19,9.8,6,3.8,4.45,4.02,0.43,1214.56,1242,11,,,,55,378,46,2,286,IND,49,330,1.5,11,281.20,"Market anchors used: rushing TDs=11. Receiving jumped to 46-378 in 2025 from 18-136 in 2024; project partial regression, not a full reversal, with Daniel Jones expected back for Week 1."
derrick henry,31,BAL,BAL,17,17,0,307,325,-18,392,397,-5,78.32,81.86,-3.54,1595,1921,-326,903,1012,-109,2.94,3.1,-0.16,692,909,-217,2.25,2.8,-0.55,15,19,-4,21,22,-1,73,76,-3,28.77,28.95,-0.18,150,193,-43,16,16,0,0,2,-2,10,12,-2,76.8%,85.5%,-8.7,2,4,-2,0,2,-2,279.5,336.4,-56.9,16.4,19.8,-3.4,14.9,13.9,1,0.94,1.1,-0.16,0.92,0.72,0.2,1.6,5.9,-4.3,0.02,0.38,-0.36,4.9,8.3,-3.4,4.47,4.75,-0.28,1350.27,1233.5,12,,,,21,150,15,0,225.35,BAL,18,172,0.5,12,233.55,"Market anchors used: rushing TDs=12. Receiving remained tiny at 15-150 after 19-193; Baltimore still uses him as a featured rusher and goal-line back, not a pass-game option."
james cook,26,BUF,BUF,17,16,1,309,207,102,419,361,58,73.75,57.34,16.41,1621,1009,612,935,530,405,3.03,2.6,0.43,686,479,207,2.22,2.3,-0.08,33,32,1,40,38,2,88,82,6,45.45,46.34,-0.89,291,258,33,12,16,-4,2,2,0,7,11,-4,67.5%,62.7%,4.8,3,4,-1,1,2,-1,302.2,266.7,35.5,17.8,16.7,1.1,14.7,12.6,2.1,0.82,1.1,-0.28,0.6,0.67,-0.07,3.1,4.1,-1,0.22,0.43,-0.21,6.3,5.2,1.1,4.96,4.65,0.31,950.5,1218,10,,,,40,291,33,2,255.9,BUF,33,282,1.5,10,252.00,Market anchors used: rushing TDs=10. Receiving held near 32-33 catches in consecutive seasons; the same Joe Brady/Josh Allen structure supports rushing efficiency but caps targets.
jahmyr gibbs,23,DET,DET,17,17,0,243,250,-7,407,478,-71,59.71,52.3,7.41,1223,1412,-189,842,813,29,3.47,3.3,0.17,381,599,-218,1.57,2.4,-0.83,77,52,25,94,63,31,123,110,13,76.42,57.27,19.15,616,517,99,13,16,-3,5,4,1,9,10,-1,60.5%,47.6%,12.9,12,9,3,5,2,3,366.9,362.9,4,21.6,21.3,0.3,18.0,15.3,2.7,1.06,1.2,-0.14,0.63,0.74,-0.11,3.6,6,-2.4,0.43,0.46,-0.03,10.1,9.8,0.3,4.19,5.1,-0.91,1063.23,1180.5,12,455,,3,94,455,77,3,330.55,DET,61,455,3,12,314.55,"Market anchors used: receiving yards=455, receiving TDs=3, rushing TDs=12. Receptions rose from 52 to 77; David Montgomery's exit expands the touch ceiling, though new backup Isiah Pacheco should absorb some early-down work."
bijan robinson,23,ATL,ATL,17,17,0,287,304,-17,439,454,-15,65.38,66.96,-1.58,1478,1456,22,812,728,84,2.83,2.4,0.43,666,728,-62,2.32,2.4,-0.08,79,61,18,103,72,31,119,85,34,86.55,84.71,1.84,820,431,389,7,14,-7,4,1,3,5,11,-6,52.2%,67.1%,-14.9,9,6,3,3,1,2,370.8,341.7,29.1,21.8,20.1,1.7,19.3,18,1.3,0.65,0.9,-0.25,0.56,0.7,-0.14,2.5,2.1,0.4,0.08,0.2,-0.12,10.3,8.6,1.7,4.5,4.71,-0.21,1175.5,1155,9,573,,3,103,573,79,3,323.8,ATL,68,573,3,9,312.80,"Market anchors used: receiving yards=573, receiving TDs=3, rushing TDs=9. He followed 61-431 with 79-820 and remains an elite three-down back; Kevin Stefanski is the new coach, while the receiving-yard market tempers a straight-line repeat of 2025."
saquon barkley,28,PHI,PHI,16,16,0,280,345,-65,364,453,-89,76.92,76.16,0.76,1140,2005,-865,708,1328,-620,2.53,3.8,-1.27,432,677,-245,1.54,2,-0.46,37,33,4,50,43,7,69,69,0,72.46,62.32,10.14,273,278,-5,7,13,-6,2,2,0,5,6,-1,69.4%,74.4%,-5,5,9,-4,1,2,-1,232.3,355.3,-123,14.5,22.2,-7.7,15.8,16.9,-1.1,0.56,0.9,-0.34,0.61,0.74,-0.13,-1.2,5.3,-6.5,-0.05,0.16,-0.21,3.0,10.7,-7.7,4.09,4.2,-0.11,1444.25,1069.5,7,260,,,53.12,260,39.31,2.12,227.01,PHI,35,260,2,7,221.95,"Market anchors used: receiving yards=260, rushing TDs=7. His last two receiving lines were stable at 33-278 and 37-273; a healthier line and new playcaller Sean Mannion help the offense without materially changing Barkley's target role."
devon achane,24,MIA,MIA,16,17,-1,238,203,35,380,372,8,62.63,54.57,8.06,1350,907,443,631,486,145,2.65,2.4,0.25,719,421,298,3.02,2.1,0.92,67,78,-11,85,87,-2,114,119,-5,74.56,73.11,1.45,488,592,-104,8,6,2,4,6,-2,3,4,-1,50.0%,60.3%,-10.3,7,12,-5,3,6,-3,322.8,299.9,22.9,20.2,17.6,2.6,16.6,17.2,-0.6,0.75,0.7,0.05,0.41,0.7,-0.29,3.5,0.4,3.1,0.34,0,0.34,8.7,6.1,2.6,4.18,3.6,0.58,886.32,992,5,400.5,,,90.31,400.5,71.19,4.25,265.94,MIA,58,400.5,3.5,5,248.25,"Market anchors used: receiving yards=400.5, rushing TDs=5. He posted 67-488 after 78-592; new QB Malik Willis adds passing-volume uncertainty, but minimal backfield competition keeps Achane central to the offense."
kyren williams,25,LAR,LAR,17,16,1,259,316,-57,413,397,16,62.71,79.6,-16.89,1252,1299,-47,737,693,44,2.85,2.2,0.65,515,606,-91,1.99,1.9,0.09,36,34,2,50,40,10,64,55,9,78.12,72.73,5.39,281,182,99,10,14,-4,3,2,1,10,14,-4,66.2%,88.6%,-22.4,8,7,1,3,2,1,263.3,272.1,-8.8,15.5,17,-1.5,14.6,17,-2.4,0.76,1,-0.24,0.72,0.87,-0.15,0.9,0,0.9,0.04,0.13,-0.09,4.0,5.5,-1.5,5.09,4.63,0.46,998.48,975,10,,,,50,281,36,3,239.6,LAR,35,235,1.5,10,225.00,"Market anchors used: rushing TDs=10. He has stayed in the 34-36 catch range, and Blake Corum remains the backup; the stable role and elite Rams offense support similar receiving usage."
Ashton Jeanty,22,LVR,,17,,,266,,,307,,,86.64,,,975,,,419,,,1.58,,,556,,,2.09,,,55,,,73,,,95,,,76.84,,,346,,,5,,,5,,,3,,,89.5%,,,9,,,4,,,245.1,,,14.4,,,14.6,,,0.59,,,0.44,,,-0.2,,,0.15,,,2.9,,,3.62,,,,965.5,7,350.5,,,73,350.5,55,5,258.6,LVR,50,350.5,3,7,241.60,"Market anchors used: receiving yards=350.5, rushing TDs=7. The rookie line was 55-346; new coach Klint Kubiak, a healthier line, and new QB Fernando Mendoza improve the environment while Jeanty retains a clean path to heavy volume."
kenneth walker,25,SEA,SEA,17,11,6,221,153,68,435,322,113,50.8,47.52,3.28,1027,573,454,621,263,358,2.81,1.7,1.11,406,310,96,1.84,2,-0.16,31,46,-15,36,53,-17,63,110,-47,57.14,48.18,8.96,282,299,-17,5,7,-2,0,1,-1,4,5,-1,37.8%,47.9%,-10.1,2,8,-6,0,1,-1,191.9,181.2,10.7,11.3,16.5,-5.2,11.4,16.8,-5.4,0.29,0.7,-0.41,0.41,0.72,-0.31,-0.1,-0.3,0.2,-0.12,-0.02,-0.1,-0.2,5,-5.2,4.13,4.1,0.03,869.48,939,7,,30.5,,36,282,30.5,0,194.6,KAN,30.5,255,1.5,7,200.90,"Market anchors used: receptions=30.5, rushing TDs=7. He moves from Seattle to an Andy Reid-led Kansas City offense after 31-282 in 2025 and 46-299 in 2024; the reception market limits the catch projection despite an improved scoring setting."
christian mccaffrey,29,SFO,SFO,17,4,13,311,50,261,405,328,77,76.79,15.24,61.55,1202,202,1000,728,116,612,2.34,2.3,0.04,474,86,388,1.52,1.7,-0.18,102,15,87,129,19,110,169,60,109,76.33,31.67,44.66,924,146,778,10,0,10,7,0,7,10,0,10,84.3%,10.3%,74,20,3,17,7,0,7,416.6,47.8,368.8,24.5,12,12.5,25.5,14,11.5,1.0,0,1,1.23,0.3,0.93,-1.0,-2,1,-0.23,-0.3,0.07,13.0,0.5,12.5,4.29,4.65,-0.36,950.27,938,8,564.5,,4,129,564.5,102,4,324.25,SFO,68,564.5,4,8,290.25,"Market anchors used: receiving yards=564.5, receiving TDs=4, rushing TDs=8. He rebounded to 102-924 after an injury-shortened 15-146 season; age 30 and 450 touches including playoffs call for regression, but Kyle Shanahan's usage preserves a high receiving floor."
javonte williams,25,DAL,DEN,16,17,-1,252,139,113,383,343,40,65.8,40.52,25.28,1201,513,688,599,258,341,2.38,1.9,0.48,602,255,347,2.39,1.8,0.59,35,52,-17,51,70,-19,82,107,-25,62.2,65.42,-3.22,137,346,-209,11,4,7,2,0,2,10,4,6,70.1%,51.9%,18.2,8,1,7,2,0,2,242.8,157.9,84.9,15.2,9.3,5.9,16.4,11.6,4.8,0.81,0.2,0.61,0.91,0.41,0.5,-1.3,-2.3,1,-0.1,-0.21,0.11,3.7,-2.2,5.9,4.66,4.52,0.14,566.86,936.5,9,,,,54.19,145.56,37.19,2.12,212.14,DAL,36,220,1.5,9,214.65,"Market anchors used: rushing TDs=9. He re-signed with Dallas and has little touch competition, but 35-137 in 2025 and a league-low 2.7 yards per target argue for only modest receiving efficiency."
Omarion Hampton,22,LAC,,9,,,124,,,359,,,34.54,,,545,,,355,,,2.86,,,190,,,1.53,,,32,,,35,,,70,,,50.0,,,192,,,4,,,1,,,3,,,42.6%,,,2,,,1,,,135.7,,,15.1,,,14.8,,,0.56,,,0.6,,,0.2,,,-0.04,,,3.6,,,4.0,,,,933,8,,,,66.11,362.67,60.44,1.89,249.34,LAC,52,375,2,8,242.80,"Market anchors used: rushing TDs=8. He managed 32-192 in only nine rookie games; Mike McDaniel replacing Greg Roman should raise targets, and both starting tackles return healthy."
